data,dolar_blr
30/06/2020,5.44
29/06/2020,5.436
26/06/2020,5.468
25/06/2020,5.324
24/06/2020,5.316
23/06/2020,5.145
22/06/2020,5.268
19/06/2020,5.305
18/06/2020,5.386
17/06/2020,5.265
16/06/2020,5.225
15/06/2020,5.15
12/06/2020,5.059
10/06/2020,4.917
09/06/2020,4.877
08/06/2020,4.871
05/06/2020,4.968
04/06/2020,5.116
03/06/2020,5.068
02/06/2020,5.22
01/06/2020,5.379
29/05/2020,5.34
28/05/2020,5.363
27/05/2020,5.292
26/05/2020,5.34
25/05/2020,5.454
22/05/2020,5.58
21/05/2020,5.574
20/05/2020,5.677
19/05/2020,5.734
18/05/2020,5.714
15/05/2020,5.832
14/05/2020,5.837
13/05/2020,5.915
12/05/2020,5.862
11/05/2020,5.835
08/05/2020,5.748
07/05/2020,5.858
06/05/2020,5.701
05/05/2020,5.597
04/05/2020,5.539
30/04/2020,5.447
29/04/2020,5.357
28/04/2020,5.498
27/04/2020,5.709
24/04/2020,5.671
23/04/2020,5.504
22/04/2020,5.407
20/04/2020,5.306
17/04/2020,5.243
16/04/2020,5.259
15/04/2020,5.236
14/04/2020,5.187
13/04/2020,5.177
09/04/2020,5.1
08/04/2020,5.151
07/04/2020,5.217
06/04/2020,5.302
03/04/2020,5.315
02/04/2020,5.265
01/04/2020,5.26
31/03/2020,5.196
30/03/2020,5.175
27/03/2020,5.058
26/03/2020,5.004
25/03/2020,5.012
24/03/2020,5.092
23/03/2020,5.139
20/03/2020,5.049
19/03/2020,5.099
18/03/2020,5.228
17/03/2020,5.001
16/03/2020,5.03
13/03/2020,4.852
12/03/2020,4.818
11/03/2020,4.734
10/03/2020,4.644
09/03/2020,4.745
06/03/2020,4.629
05/03/2020,4.648
04/03/2020,4.578
03/03/2020,4.51
02/03/2020,4.485
28/02/2020,4.492
27/02/2020,4.47
26/02/2020,4.439
21/02/2020,4.39
20/02/2020,4.386
19/02/2020,4.369
18/02/2020,4.358
17/02/2020,4.326
14/02/2020,4.3
13/02/2020,4.344
12/02/2020,4.347
11/02/2020,4.326
10/02/2020,4.327
07/02/2020,4.319
06/02/2020,4.277
05/02/2020,4.244
04/02/2020,4.257
03/02/2020,4.249
31/01/2020,4.283
30/01/2020,4.261
29/01/2020,4.222
28/01/2020,4.194
27/01/2020,4.205
24/01/2020,4.186
23/01/2020,4.165
22/01/2020,4.177
21/01/2020,4.2
20/01/2020,4.189
17/01/2020,4.161
16/01/2020,4.194
15/01/2020,4.177
14/01/2020,4.129
13/01/2020,4.137
10/01/2020,4.081
09/01/2020,4.087
08/01/2020,4.049
07/01/2020,4.06
06/01/2020,4.071
03/01/2020,4.053
02/01/2020,4.023
30/12/2019,4.016
27/12/2019,4.048
26/12/2019,4.063
23/12/2019,4.075
20/12/2019,4.097
19/12/2019,4.061
18/12/2019,4.067
17/12/2019,4.064
16/12/2019,4.061
13/12/2019,4.107
12/12/2019,4.085
11/12/2019,4.133
10/12/2019,4.145
09/12/2019,4.133
06/12/2019,4.143
05/12/2019,4.186
04/12/2019,4.205
03/12/2019,4.208
02/12/2019,4.218
29/11/2019,4.235
28/11/2019,4.214
27/11/2019,4.257
26/11/2019,4.244
25/11/2019,4.212
22/11/2019,4.191
21/11/2019,4.196
20/11/2019,4.204
19/11/2019,4.197
18/11/2019,4.2
14/11/2019,4.19
13/11/2019,4.187
12/11/2019,4.17
11/11/2019,4.137
08/11/2019,4.156
07/11/2019,4.088
06/11/2019,4.085
05/11/2019,3.991
04/11/2019,4.008
01/11/2019,3.999
31/10/2019,4.012
30/10/2019,3.989
29/10/2019,3.997
28/10/2019,3.989
25/10/2019,4.008
24/10/2019,4.036
23/10/2019,4.032
22/10/2019,4.073
21/10/2019,4.135
18/10/2019,4.115
17/10/2019,4.16
16/10/2019,4.158
15/10/2019,4.158
14/10/2019,4.127
11/10/2019,4.085
10/10/2019,4.122
09/10/2019,4.094
08/10/2019,4.09
07/10/2019,4.102
04/10/2019,4.061
03/10/2019,4.084
02/10/2019,4.135
01/10/2019,4.163
30/09/2019,4.151
27/09/2019,4.155
26/09/2019,4.16
25/09/2019,4.155
24/09/2019,4.173
23/09/2019,4.171
20/09/2019,4.153
19/09/2019,4.157
18/09/2019,4.111
17/09/2019,4.08
16/09/2019,4.09
13/09/2019,4.091
12/09/2019,4.057
11/09/2019,4.063
10/09/2019,4.099
09/09/2019,4.097
06/09/2019,4.073
05/09/2019,4.101
04/09/2019,4.104
03/09/2019,4.179
02/09/2019,4.182
30/08/2019,4.131
29/08/2019,4.163
28/08/2019,4.156
27/08/2019,4.149
26/08/2019,4.151
23/08/2019,4.117
22/08/2019,4.072
21/08/2019,4.024
20/08/2019,4.04
19/08/2019,4.066
16/08/2019,4
15/08/2019,3.993
14/08/2019,4.037
13/08/2019,3.963
12/08/2019,3.978
09/08/2019,3.939
08/08/2019,3.925
07/08/2019,3.976
06/08/2019,3.956
05/08/2019,3.961
02/08/2019,3.884
01/08/2019,3.842
31/07/2019,3.798
30/07/2019,3.794
29/07/2019,3.779
26/07/2019,3.768
25/07/2019,3.783
24/07/2019,3.771
23/07/2019,3.773
22/07/2019,3.738
19/07/2019,3.747
18/07/2019,3.729
17/07/2019,3.759
16/07/2019,3.763
15/07/2019,3.757
12/07/2019,3.741
11/07/2019,3.75
10/07/2019,3.753
09/07/2019,3.786
08/07/2019,3.806
05/07/2019,3.817
04/07/2019,3.794
03/07/2019,3.821
02/07/2019,3.853
01/07/2019,3.845
28/06/2019,3.836
27/06/2019,3.831
26/06/2019,3.848
25/06/2019,3.851
24/06/2019,3.824
21/06/2019,3.82
19/06/2019,3.853
18/06/2019,3.861
17/06/2019,3.901
14/06/2019,3.893
13/06/2019,3.856
12/06/2019,3.858
11/06/2019,3.847
10/06/2019,3.878
07/06/2019,3.872
06/06/2019,3.879
05/06/2019,3.9
04/06/2019,3.858
03/06/2019,3.896
31/05/2019,3.926
30/05/2019,3.976
29/05/2019,3.975
28/05/2019,4.017
27/05/2019,4.033
24/05/2019,4.014
23/05/2019,4.045
22/05/2019,4.042
21/05/2019,4.052
20/05/2019,4.102
17/05/2019,4.1
16/05/2019,4.038
15/05/2019,3.992
14/05/2019,3.973
13/05/2019,3.983
10/05/2019,3.941
09/05/2019,3.949
08/05/2019,3.929
07/05/2019,3.969
06/05/2019,3.957
03/05/2019,3.936
02/05/2019,3.96
30/04/2019,3.919
29/04/2019,3.941
26/04/2019,3.931
25/04/2019,3.954
24/04/2019,3.986
23/04/2019,3.922
22/04/2019,3.931
18/04/2019,3.93
17/04/2019,3.932
16/04/2019,3.897
15/04/2019,3.87
12/04/2019,3.887
11/04/2019,3.858
10/04/2019,3.818
09/04/2019,3.855
08/04/2019,3.847
05/04/2019,3.866
04/04/2019,3.852
03/04/2019,3.87
02/04/2019,3.856
01/04/2019,3.873
29/03/2019,3.915
28/03/2019,3.91
27/03/2019,3.95
26/03/2019,3.867
25/03/2019,3.859
22/03/2019,3.904
21/03/2019,3.794
20/03/2019,3.75
19/03/2019,3.784
18/03/2019,3.789
15/03/2019,3.818
14/03/2019,3.846
13/03/2019,3.807
12/03/2019,3.811
11/03/2019,3.841
08/03/2019,3.868
07/03/2019,3.897
06/03/2019,3.838
01/03/2019,3.774
28/02/2019,3.75
27/02/2019,3.729
26/02/2019,3.748
25/02/2019,3.739
22/02/2019,3.735
21/02/2019,3.753
20/02/2019,3.727
19/02/2019,3.707
18/02/2019,3.734
15/02/2019,3.704
14/02/2019,3.743
13/02/2019,3.753
12/02/2019,3.707
11/02/2019,3.76
08/02/2019,3.734
07/02/2019,3.706
06/02/2019,3.701
05/02/2019,3.663
04/02/2019,3.671
01/02/2019,3.66
31/01/2019,3.651
30/01/2019,3.723
29/01/2019,3.724
28/01/2019,3.764
25/01/2019,3.763
24/01/2019,3.77
23/01/2019,3.767
22/01/2019,3.797
21/01/2019,3.76
18/01/2019,3.757
17/01/2019,3.742
16/01/2019,3.729
15/01/2019,3.729
14/01/2019,3.696
11/01/2019,3.715
10/01/2019,3.719
09/01/2019,3.685
08/01/2019,3.71
07/01/2019,3.729
04/01/2019,3.714
03/01/2019,3.756
02/01/2019,3.815
28/12/2018,3.875
27/12/2018,3.898
26/12/2018,3.919
21/12/2018,3.891
20/12/2018,3.851
19/12/2018,3.874
18/12/2018,3.901
17/12/2018,3.895
14/12/2018,3.903
13/12/2018,3.877
12/12/2018,3.85
11/12/2018,3.916
10/12/2018,3.923
07/12/2018,3.882
06/12/2018,3.889
05/12/2018,3.869
04/12/2018,3.86
03/12/2018,3.829
30/11/2018,3.858
29/11/2018,3.853
28/11/2018,3.841
27/11/2018,3.887
26/11/2018,3.904
23/11/2018,3.816
22/11/2018,3.805
21/11/2018,3.785
20/11/2018,3.759
19/11/2018,3.763
16/11/2018,3.736
14/11/2018,3.788
13/11/2018,3.82
12/11/2018,3.75
09/11/2018,3.736
08/11/2018,3.743
07/11/2018,3.741
06/11/2018,3.754
05/11/2018,3.719
01/11/2018,3.688
31/10/2018,3.709
30/10/2018,3.695
29/10/2018,3.709
26/10/2018,3.648
25/10/2018,3.7
24/10/2018,3.734
23/10/2018,3.698
22/10/2018,3.69
19/10/2018,3.709
18/10/2018,3.709
17/10/2018,3.682
16/10/2018,3.72
15/10/2018,3.736
11/10/2018,3.77
10/10/2018,3.758
09/10/2018,3.71
08/10/2018,3.761
05/10/2018,3.865
04/10/2018,3.891
03/10/2018,3.898
02/10/2018,3.94
01/10/2018,4.02
28/09/2018,4.043
27/09/2018,3.987
26/09/2018,4.025
25/09/2018,4.083
24/09/2018,4.082
21/09/2018,4.04
20/09/2018,4.076
19/09/2018,4.125
18/09/2018,4.131
17/09/2018,4.12
14/09/2018,4.165
13/09/2018,4.198
12/09/2018,4.147
11/09/2018,4.16
10/09/2018,4.095
06/09/2018,4.115
05/09/2018,4.132
04/09/2018,4.155
03/09/2018,4.149
31/08/2018,4.068
30/08/2018,4.16
29/08/2018,4.118
28/08/2018,4.144
27/08/2018,4.085
24/08/2018,4.104
23/08/2018,4.115
22/08/2018,4.058
21/08/2018,4.023
20/08/2018,3.958
17/08/2018,3.919
16/08/2018,3.902
15/08/2018,3.901
14/08/2018,3.866
13/08/2018,3.901
10/08/2018,3.858
09/08/2018,3.8
08/08/2018,3.77
07/08/2018,3.763
06/08/2018,3.729
03/08/2018,3.705
02/08/2018,3.757
01/08/2018,3.754
31/07/2018,3.754
30/07/2018,3.728
27/07/2018,3.713
26/07/2018,3.741
25/07/2018,3.706
24/07/2018,3.744
23/07/2018,3.786
20/07/2018,3.781
19/07/2018,3.866
18/07/2018,3.833
17/07/2018,3.841
16/07/2018,3.861
13/07/2018,3.852
12/07/2018,3.885
11/07/2018,3.88
10/07/2018,3.798
09/07/2018,3.869
06/07/2018,3.906
05/07/2018,3.933
04/07/2018,3.912
03/07/2018,3.893
02/07/2018,3.911
29/06/2018,3.875
28/06/2018,3.862
27/06/2018,3.852
26/06/2018,3.796
25/06/2018,3.782
22/06/2018,3.776
21/06/2018,3.768
20/06/2018,3.777
19/06/2018,3.743
18/06/2018,3.748
15/06/2018,3.722
14/06/2018,3.797
13/06/2018,3.717
12/06/2018,3.716
11/06/2018,3.719
08/06/2018,3.717
07/06/2018,3.92
06/06/2018,3.818
05/06/2018,3.811
04/06/2018,3.74
01/06/2018,3.764
30/05/2018,3.74
29/05/2018,3.746
28/05/2018,3.737
25/05/2018,3.673
24/05/2018,3.646
23/05/2018,3.627
22/05/2018,3.64
21/05/2018,3.687
18/05/2018,3.743
17/05/2018,3.705
16/05/2018,3.678
15/05/2018,3.662
14/05/2018,3.625
11/05/2018,3.603
10/05/2018,3.546
09/05/2018,3.604
08/05/2018,3.571
07/05/2018,3.554
04/05/2018,3.522
03/05/2018,3.526
02/05/2018,3.548
30/04/2018,3.506
27/04/2018,3.462
26/04/2018,3.479
25/04/2018,3.487
24/04/2018,3.469
23/04/2018,3.448
20/04/2018,3.412
19/04/2018,3.389
18/04/2018,3.378
17/04/2018,3.404
16/04/2018,3.422
13/04/2018,3.423
12/04/2018,3.402
11/04/2018,3.379
10/04/2018,3.406
09/04/2018,3.401
06/04/2018,3.37
05/04/2018,3.343
04/04/2018,3.337
03/04/2018,3.336
02/04/2018,3.318
29/03/2018,3.301
28/03/2018,3.33
27/03/2018,3.33
26/03/2018,3.303
23/03/2018,3.314
22/03/2018,3.302
21/03/2018,3.271
20/03/2018,3.308
19/03/2018,3.287
16/03/2018,3.274
15/03/2018,3.291
14/03/2018,3.264
13/03/2018,3.264
12/03/2018,3.255
09/03/2018,3.25
08/03/2018,3.264
07/03/2018,3.245
06/03/2018,3.208
05/03/2018,3.247
02/03/2018,3.251
01/03/2018,3.256
28/02/2018,3.238
27/02/2018,3.247
26/02/2018,3.237
23/02/2018,3.241
22/02/2018,3.246
21/02/2018,3.251
20/02/2018,3.253
19/02/2018,3.234
16/02/2018,3.219
15/02/2018,3.237
14/02/2018,3.23
09/02/2018,3.308
08/02/2018,3.282
07/02/2018,3.278
06/02/2018,3.24
05/02/2018,3.245
02/02/2018,3.212
01/02/2018,3.169
31/01/2018,3.187
30/01/2018,3.177
29/01/2018,3.166
26/01/2018,3.146
25/01/2018,3.139
24/01/2018,3.177
23/01/2018,3.242
22/01/2018,3.208
19/01/2018,3.199
18/01/2018,3.211
17/01/2018,3.215
16/01/2018,3.229
15/01/2018,3.209
12/01/2018,3.208
11/01/2018,3.224
10/01/2018,3.228
09/01/2018,3.248
08/01/2018,3.234
05/01/2018,3.231
04/01/2018,3.227
03/01/2018,3.242
02/01/2018,3.26
28/12/2017,3.309
27/12/2017,3.311
26/12/2017,3.317
22/12/2017,3.33
21/12/2017,3.31
20/12/2017,3.291
19/12/2017,3.301
18/12/2017,3.297
15/12/2017,3.306
14/12/2017,3.341
13/12/2017,3.311
12/12/2017,3.327
11/12/2017,3.299
08/12/2017,3.3
07/12/2017,3.288
06/12/2017,3.241
05/12/2017,3.23
04/12/2017,3.243
01/12/2017,3.258
30/11/2017,3.277
29/11/2017,3.246
28/11/2017,3.211
27/11/2017,3.218
24/11/2017,3.229
23/11/2017,3.221
22/11/2017,3.235
21/11/2017,3.25
20/11/2017,3.262
17/11/2017,3.26
16/11/2017,3.276
14/11/2017,3.306
13/11/2017,3.295
10/11/2017,3.279
09/11/2017,3.255
08/11/2017,3.259
07/11/2017,3.281
06/11/2017,3.26
03/11/2017,3.3
01/11/2017,3.266
31/10/2017,3.275
30/10/2017,3.279
27/10/2017,3.245
26/10/2017,3.276
25/10/2017,3.243
24/10/2017,3.258
23/10/2017,3.225
20/10/2017,3.187
19/10/2017,3.175
18/10/2017,3.165
17/10/2017,3.168
16/10/2017,3.169
13/10/2017,3.151
11/10/2017,3.166
10/10/2017,3.179
09/10/2017,3.186
06/10/2017,3.157
05/10/2017,3.154
04/10/2017,3.13
03/10/2017,3.146
02/10/2017,3.154
29/09/2017,3.167
28/09/2017,3.181
27/09/2017,3.191
26/09/2017,3.169
25/09/2017,3.156
22/09/2017,3.126
21/09/2017,3.144
20/09/2017,3.132
19/09/2017,3.139
18/09/2017,3.132
15/09/2017,3.115
14/09/2017,3.116
13/09/2017,3.131
12/09/2017,3.129
11/09/2017,3.1
08/09/2017,3.092
06/09/2017,3.103
05/09/2017,3.118
04/09/2017,3.135
01/09/2017,3.143
31/08/2017,3.15
30/08/2017,3.159
29/08/2017,3.161
28/08/2017,3.161
25/08/2017,3.153
24/08/2017,3.144
23/08/2017,3.137
22/08/2017,3.167
21/08/2017,3.168
18/08/2017,3.145
17/08/2017,3.179
16/08/2017,3.151
15/08/2017,3.176
14/08/2017,3.191
11/08/2017,3.17
10/08/2017,3.168
09/08/2017,3.149
08/08/2017,3.124
07/08/2017,3.123
04/08/2017,3.125
03/08/2017,3.114
02/08/2017,3.122
01/08/2017,3.122
31/07/2017,3.116
28/07/2017,3.133
27/07/2017,3.157
26/07/2017,3.14
25/07/2017,3.169
24/07/2017,3.147
21/07/2017,3.138
20/07/2017,3.13
19/07/2017,3.146
18/07/2017,3.155
17/07/2017,3.182
14/07/2017,3.181
13/07/2017,3.212
12/07/2017,3.206
11/07/2017,3.254
10/07/2017,3.26
07/07/2017,3.284
06/07/2017,3.299
05/07/2017,3.294
04/07/2017,3.308
03/07/2017,3.3
